year,month,day,irradiation_forecast,temperature_forecast,irradiation,temperature,power
2017,1,8,160.4695,3.665371,206.0080393,1.413689669,1617.09825
2017,1,8,134.57407,3.455371,52.63206033,3.162933727,468.1961038
2017,1,8,87.6451,3.5253708,1.992522959,4.544845861,1.440743842
2017,1,8,27.096195,3.945371,1.145604339,5.12882869,0
2017,1,8,0,4.095371,1.481798712,5.973017003,0
2017,1,8,0,4.335371,1.360536409,6.415739318,0
2017,1,8,0,4.6153708,1.201751537,7.011050048,0
2017,1,8,0,4.7553706,1.024603423,7.520073088,0
2017,1,8,0,4.9053707,1.025465351,8.098759989,0
2017,1,8,0,5.0053706,1.025239667,8.731761314,0
2017,1,9,0,4.9653707,1.019441873,9.063227421,0
2017,1,9,0,4.845371,1.112050791,9.136595073,0
2017,1,9,0,4.585371,1.084799576,8.855142659,0
2017,1,9,0,4.9453707,1.060098893,8.584531124,0
2017,1,9,0,5.2553706,1.072414831,8.089260342,0
2017,1,9,0,5.4453707,1.07818436,7.918840609,0
2017,1,9,0,5.6553707,1.032587248,7.499986806,0
2017,1,9,0,5.835371,0.993311213,6.390807403,0
2017,1,9,0,6.075371,3.551014808,5.913874331,2.985131207
2017,1,9,0,6.2153707,16.46541624,5.228730715,60.89110906
2017,1,9,29.464954,5.6953707,26.32800581,4.239157933,110.7993167
2017,1,9,90.69488,4.275371,32.75110286,3.910861622,144.0667927
2017,1,9,137.72632,3.2453709,26.86944437,3.135840254,110.9608268
2017,1,9,164.13748,2.165371,28.43125899,2.639037891,118.2920493
2017,1,9,161.59738,2.5753708,42.83649423,1.815707941,204.0512883
2017,1,9,136.17809,2.3253708,8.298854335,1.948116128,16.22632712
2017,1,9,88.6949,2.3053708,1.038636498,2.13507819,0
2017,1,9,28.51242,2.6253707,1.220461928,2.586566129,0
2017,1,9,0,2.695371,1.043262677,2.611918479,0
2017,1,9,0,2.8753707,1.018788267,2.74092775,0
2017,1,9,0,3.155371,1.117936966,2.569912501,0
2017,1,9,0,3.415371,1.094750992,2.255767535,0
2017,1,9,0,3.665371,1.025392288,2.279033689,0
2017,1,9,0,3.7753708,1.006401785,2.143060474,0
2017,1,10,0,3.8853707,0.973445074,2.008511844,0
2017,1,10,0,4.145371,0.967125926,2.315877279,0
2017,1,10,0,4.3653708,0.993589462,3.551459198,0
2017,1,10,0,4.665371,0.98664499,5.149572092,0
2017,1,10,0,4.855371,1.00641012,6.981749087,0
2017,1,10,0,4.825371,1.032643598,7.397886615,0
2017,1,10,0,5.1153708,1.012782278,7.633557892,0
2017,1,10,0,5.2553706,0.99686447,7.915466589,0
2017,1,10,0,5.515371,28.26029098,7.501631198,121.836097
2017,1,10,0,5.7553706,157.0574861,6.534315854,1008.430197
2017,1,10,29.945107,4.895371,286.3106194,4.680597359,1863.422664
